Addr,Score
"
서울 동작구 등용로 17 1층
(지번) 상도동 363-111
",4.3
"
서울 동작구 노량진로 162 한주빌딩 1층
(지번) 노량진동 114-5
",2.1
"
서울 동작구 상도로 383 1층
(지번) 상도동 500-16
",5.0
"
서울 동작구 상도로 372-3
(지번) 상도동 494-1
",0.0
"
서울 동작구 현충로 2
(지번) 본동 46-1
",4.1
"
서울 동작구 상도로61길 21
(지번) 상도동 502-11
",5.0
"
서울 동작구 상도로 177 1층
(지번) 상도동 365-1
",5.0
"
서울 동작구 장승배기로 137-1 1층
(지번) 노량진동 231-28
",4.1
"
서울 동작구 흑석로 115 2층
(지번) 흑석동 180-4
",3.5
"
서울 동작구 흑석로 85-9
(지번) 흑석동 190-31
",3.6
"
서울 동작구 성대로29길 45 신한쉐르빌 B동 1층 B01호
(지번) 상도동 188-25
",4.8
"
서울 동작구 만양로 84
(지번) 노량진동 330
",0.0
"
서울 동작구 장승배기로 38-1 1층
(지번) 상도동 204-29
",0.0
"
서울 동작구 만양로16길 32 1층
(지번) 노량진동 119-148
",4.6
"
서울 동작구 장승배기로 149
(지번) 노량진동 232-184
",2.9
"
서울 동작구 등용로 17 1층
(지번) 상도동 363-111
",4.3
"
서울 동작구 노량진로 162 한주빌딩 1층
(지번) 노량진동 114-5
",2.1
"
서울 동작구 장승배기로28길 19 1층
(지번) 노량진동 56-14
",3.4
"
서울 동작구 상도로47길 13 1층
(지번) 상도1동 356
",5.0
"
서울 동작구 흑석로13마길 65-3 1층
(지번) 흑석동 190-22
",3.3
"
서울 동작구 양녕로26길 16
(지번) 상도동 210-32
",5.0
"
서울 동작구 상도로50길 8
(지번) 상도동 462-9
",0.0
"
서울 동작구 상도로37길 62
(지번) 상도동 467-2
",1.0
"
서울 동작구 서달로13길 5-14
(지번) 흑석동 102-51
",2.9
"
서울 동작구 양녕로 253-12
(지번) 상도1동 704-1
",0.0
"
서울 동작구 장승배기로10길 9
(지번) 상도동 369-6
",2.3
"
서울 동작구 상도로61길 38 1층
(지번) 상도동 504-5
",2.7
"
서울 동작구 만양로 110 1층
(지번) 노량진동 117-15
",4.7
"
서울 동작구 서달로10길 8
(지번) 흑석동 86-102
",3.2
"
서울 동작구 상도로61길 48 2층
(지번) 상도동 504-1
",5.0
"
서울 동작구 상도로 219
(지번) 상도동 26-11
",0.0
"
서울 동작구 흑석로11길 4 1~2층
(지번) 흑석동 184-14
",0.0
"
서울 동작구 장승배기로28길 19 1층
(지번) 노량진동 56-14
",3.4
"
서울 동작구 상도로47길 13 1층
(지번) 상도1동 356
",5.0
"
서울 동작구 흑석로13마길 65-3 1층
(지번) 흑석동 190-22
",3.3
"
서울 동작구 양녕로26길 16
(지번) 상도동 210-32
",5.0
"
서울 동작구 상도로50길 8
(지번) 상도동 462-9
",0.0
"
서울 동작구 상도로37길 62
(지번) 상도동 467-2
",1.0
"
서울 동작구 서달로13길 5-14
(지번) 흑석동 102-51
",2.9
"
서울 동작구 양녕로 253-12
(지번) 상도1동 704-1
",0.0
"
서울 동작구 장승배기로10길 9
(지번) 상도동 369-6
",2.3
"
서울 동작구 상도로61길 38 1층
(지번) 상도동 504-5
",2.7
"
서울 동작구 만양로 110 1층
(지번) 노량진동 117-15
",4.7
"
서울 동작구 서달로10길 8
(지번) 흑석동 86-102
",3.2
"
서울 동작구 상도로61길 48 2층
(지번) 상도동 504-1
",5.0
"
서울 동작구 상도로 219
(지번) 상도동 26-11
",0.0
"
서울 동작구 흑석로11길 4 1~2층
(지번) 흑석동 184-14
",0.0
"
서울 동작구 흑석로8길 9
(지번) 흑석동 223-16
",4.6
"
서울 동작구 만양로 105 1층
(지번) 노량진동 116-2
",2.8
"
서울 동작구 성대로1길 4 1층
(지번) 상도동 248-14
",4.1
"
서울 동작구 노량진로 180 1층
(지번) 노량진동 148-91
",2.5
"
서울 동작구 노량진로16길 16 1층
(지번) 노량진동 95
",3.0
"
서울 동작구 만양로 19 신동아리버파크아파트 상가동 131,132호
(지번) 노량진동 325
",0.0
"
서울 동작구 만양로8길 2
(지번) 노량진동 215-128
",0.0
"
서울 동작구 흑석로13가길 25
(지번) 흑석동 188
",5.0
"
서울 동작구 서달로14길 34 1층
(지번) 흑석동 43-3
",4.9
"
서울 동작구 상도로47길 18 1층
(지번) 상도동 464-10
",0.0
"
서울 동작구 장승배기로19길 26
(지번) 노량진동 302-177
",4.5
"
서울 동작구 만양로 19 신동아아파트 상가동 1층
(지번) 노량진동 325
",0.0
"
서울 동작구 상도로22길 34
(지번) 상도동 196-56
",3.8
"
서울 동작구 서달로12길 13
(지번) 흑석동 97-42
",4.0
"
서울 동작구 성대로1길 3
(지번) 상도동 346-11
",3.1
"
서울 동작구 양녕로25길 6
(지번) 상도동 210-44
",5.0
"
서울 동작구 흑석로13마길 65-9 1층
(지번) 흑석동 190-21
",3.3
"
서울 동작구 장승배기로10길 7
(지번) 상도동 369-13
",3.5
"
서울 동작구 상도로49길 7
(지번) 상도동 465-16
",0.0
"
서울 동작구 상도로62길 45
(지번) 상도동 490
",0.0
"
서울 동작구 상도로61길 35 1층
(지번) 상도동 505-8
",4.3
"
서울 동작구 상도로15길 104 1층
(지번) 상도동 359-3
",4.4
"
서울 동작구 노량진로 250-1
(지번) 본동 126-44
",4.0
"
서울 동작구 장승배기로 118-1 1층
(지번) 노량진동 309-18
",5.0
"
서울 동작구 상도로60길 2
(지번) 상도동 494-13
",5.0
"
서울 동작구 노량진로 254
(지번) 본동 48-12
",4.8
"
서울 동작구 성대로1길 1 2층
(지번) 상도동 346-9
",4.1
"
서울 동작구 상도로61길 37
(지번) 상도동 505-9
",3.4
"
서울 동작구 상도로15길 131 1층 b101호
(지번) 상도동 363-164
",5.0
"
서울 동작구 서달로14나길 10
(지번) 흑석동 51-3
",4.0
"
서울 동작구 서달로 157 1층
(지번) 흑석동 100-46
",3.5
"
서울 동작구 상도로34길 27
(지번) 상도동 155-7
",0.0
"
서울 동작구 장승배기로 44-1 1층
(지번) 상도동 204-74
",1.0
"
서울 동작구 상도로62길 37
(지번) 상도동 492-13
",3.0
"
서울 동작구 상도로15길 3
(지번) 상도동 348-147
",3.7
"
서울 동작구 흑석로 22
(지번) 상도동 7-84
",0.0
"
서울 동작구 상도로67길 32 1층
(지번) 상도동 505-7
",5.0
"
서울 동작구 상도로15길 42
(지번) 상도동 354-12
",5.0
"
서울 동작구 노량진로16길 16
(지번) 노량진동 95
",3.3
"
서울 동작구 양녕로22가길 67 1층
(지번) 상도동 214-291
",0.0
"
서울 동작구 현충로 94 2층
(지번) 흑석동 6-10
",3.7
"
서울 동작구 장승배기로 69
(지번) 상도동 181-13
",0.0
"
서울 동작구 상도로47마길 8
(지번) 상도1동 436
",0.0
"
서울 동작구 양녕로25길 2
(지번) 상도동 209-23
",0.0
"
서울 동작구 노량진로16길 27
(지번) 노량진동 90-8
",3.2
"
서울 동작구 서달로12가길 13
(지번) 흑석동 95-12
",5.0
"
서울 동작구 흑석로 102 중앙대학교병원 본관 지하 1층
(지번) 흑석동 224-1
",2.7
"
서울 동작구 만양로 7-6
(지번) 상도동 22-88
",0.0
"
서울 동작구 상도로60길 6 1층
(지번) 상도동 493-9
",5.0
"
서울 동작구 장승배기로10길 17
(지번) 상도동 373-20
",0.0
"
서울 동작구 흑석로 13
(지번) 상도1동 497
",0.0
"
서울 동작구 노량진로 148-5
(지번) 노량진동 72-16
",3.5
"
서울 동작구 노량진로26길 3-2
(지번) 본동 48-16
",4.0
"
서울 동작구 상도로61길 35 1층
(지번) 상도동 505-8
",4.5
"
서울 동작구 장승배기로 56
(지번) 상도동 184-4
",0.0
"
서울 동작구 서달로12나길 2 1층
(지번) 흑석동 54-149
",4.4
"
서울 동작구 흑석로 111-6
(지번) 흑석동 181-14
",5.0
"
서울 동작구 상도로67길 32 1층
(지번) 상도동 505-7
",5.0
"
서울 동작구 노들로 674 노량진수산시장 5층 2호
(지번) 노량진동 334
",
"
서울 동작구 노량진로14길 9 1층
(지번) 노량진동 58
",5.0
"
서울 동작구 매봉로 134
(지번) 본동 481
",0.0
"
서울 동작구 양녕로27길 23 1층
(지번) 상도동 210-91
",0.0
"
서울 동작구 만양로 26
(지번) 상도동 414
",0.0
"
서울 동작구 상도로47가길 27
(지번) 상도1동 365-1
",0.0
"
서울 동작구 상도로61길 34
(지번) 상도동 504-6
",3.5
"
서울 동작구 상도로37길 77
(지번) 상도동 478
",0.0
"
서울 동작구 노량진동 15-15

",1.0
"
서울 동작구 만양로14길 13 1층
(지번) 노량진동 119-149
",5.0
"
서울 동작구 흑석로13길 4 1층
(지번) 흑석동 180-3
",5.0
"
서울 동작구 흑석로 102
(지번) 흑석동 224-1
",0.0
"
서울 동작구 노량진로 140
(지번) 노량진동 57-1
",2.3
"
서울 동작구 상도로 124 1층
(지번) 상도동 355-7
",4.2
"
서울 동작구 흑석로 102
(지번) 흑석동 224-1
",0.0
"
서울 동작구 장승배기로 37
(지번) 상도동 201-1
",1.0
"
서울 동작구 상도로37길 26
(지번) 상도1동 398-1
",0.0
"
서울 동작구 상도로47길 4
(지번) 상도동 463-2
",0.0
"
서울 동작구 상도로 258-1
(지번) 상도동 33-14
",0.0
"
서울 동작구 상도로45길 78
(지번) 상도1동 323-1
",0.0
"
서울 동작구 만양로14가길 13
(지번) 노량진동 118-3
",0.0
"
서울 동작구 상도로53길 13 상가동 202호
(지번) 상도동 436
",0.0
"
서울 동작구 사당로 30
(지번) 상도동 505
",0.0
"
서울 동작구 서달로14길 16 1층
(지번) 흑석동 50-24
",4.8
"
서울 동작구 상도로 321
(지번) 상도동 463
",0.0
"
서울 동작구 서달로10길 16
(지번) 흑석동 86-34
",4.0
"
서울 동작구 노들로 688
(지번) 노량진동 15-27
",3.6
"
서울 동작구 서달로14나길 5
(지번) 흑석동 50-40
",4.7
"
서울 동작구 상도1동 500-1

",0.0
"
서울 동작구 상도로47길 4
(지번) 상도동 463-2
",0.0
"
서울 동작구 상도로58길 2 2층
(지번) 상도동 490-5
",0.0
"
서울 동작구 사당로 20 2층 201호
(지번) 상도동 505-6
",3.7
"
서울 동작구 상도로 258-1
(지번) 상도동 33-14
",0.0
"
서울 동작구 상도로 357
(지번) 상도동 488
",0.0
"
서울 동작구 만양로16길 35 1층
(지번) 노량진동 119-224
",3.9
"
서울 동작구 장승배기로10길 21
(지번) 상도동 373-34
",4.0
"
서울 동작구 흑석로8길 3
(지번) 흑석동 223-41
",5.0
"
서울 동작구 흑석로9길 6 1층
(지번) 흑석동 190-5
",3.0
"
서울 동작구 양녕로26길 29 1층 101호
(지번) 상도동 214-131
",0.0
"
서울 동작구 상도로60길 1
(지번) 상도동 495-2
",3.1
"
서울 동작구 상도로 115
(지번) 상도동 347-7
",4.1
"
서울 동작구 장승배기로 25-2
(지번) 상도동 204-21
",0.0
"
서울 동작구 서달로12가길 9
(지번) 흑석동 95-173
",0.0
"
서울 동작구 상도로50길 10
(지번) 상도동 462-10
",0.0
"
서울 동작구 장승배기로 123-6
(지번) 노량진동 307-9
",0.0
"
서울 동작구 상도로22길 37
(지번) 상도동 197-1
",0.0
"
서울 동작구 만양로 19 상가동 1층 134호
(지번) 노량진동 325
",0.0
"
서울 동작구 등용로 9
(지번) 상도동 363-11
",0.0
"
서울 동작구 상도1동 113-3

",0.0
"
서울 동작구 만양로 84 지하1층
(지번) 노량진동 330
",5.0
"
서울 동작구 상도로61길 32
(지번) 상도동 504-7
",4.7
"
서울 동작구 서달로10길 14-1
(지번) 흑석동 96-3
",0.0
"
서울 동작구 흑석로 106-7
(지번) 흑석동 102-27
",5.0
"
서울 동작구 양녕로20길 3
(지번) 상도동 산 65-235
",3.0
"
서울 동작구 노량진로8길 55 상가 101호
(지번) 노량진동 37-1
",4.1
"
서울 동작구 노량진로26길 11 1층
(지번) 본동 48-41
",0.0
"
서울 동작구 성대로1길 1
(지번) 상도동 346-9
",3.3
"
서울 동작구 만양로 84
(지번) 노량진동 330
",0.0
"
서울 동작구 성대로 202
(지번) 상도동 202-67
",0.0
"
서울 동작구 노량진로16길 22
(지번) 노량진동 92-2
",1.4
"
서울 동작구 서달로12길 13
(지번) 흑석동 97-6
",0.0
"
서울 동작구 장승배기로18길 27
(지번) 노량진동 227-5
",0.0
"
서울 동작구 흑석로 94 2층
(지번) 흑석동 223-1
",3.0
"
서울 동작구 서달로15길 7
(지번) 흑석동 101-1
",4.7
"
서울 동작구 서달로 167 1층
(지번) 흑석동 102-1
",2.1
"
서울 동작구 노량진로 80 큐브스테이트 2층
(지번) 노량진동 267-6
",3.6
"
서울 동작구 서달로14길 16
(지번) 흑석동 50-24
",4.0
"
서울 관악구 은천로 132
(지번) 봉천동 458-8
",3.9
"
서울 동작구 만양로 84 삼익주상복합아파트 제지하1층 24호
(지번) 노량진동 330
",4.5
"
서울 동작구 서달로14가길 16
(지번) 흑석동 97-19
",0.0
"
서울 동작구 만양로14가길 30-3 1층
(지번) 노량진동 117-31
",4.1
"
서울 동작구 노들로 674 노량진수산시장 신관 2층 20호
(지번) 노량진동 13-13
",3.7
"
서울 동작구 상도로 158
(지번) 상도동 186-7
",5.0
"
서울 동작구 상도로 196
(지번) 상도동 373-11
",0.0
"
서울 동작구 만양로14길 11
(지번) 노량진동 119-213
",0.0
"
서울 동작구 노량진로 162 1층
(지번) 노량진동 114-5
",2.9
"
서울 동작구 만양로14가길 30-9
(지번) 노량진동 126-12
",3.6
"
서울 동작구 양녕로26길 10
(지번) 상도동 210-1
",0.0
"
서울 동작구 만양로 84 삼익아파트상가 지하24호
(지번) 노량진동 330
",0.0
"
서울 동작구 노량진로18길 30
(지번) 본동 201-3
",0.0
"
서울 동작구 상도로15길 137
(지번) 상도동 363-205
",1.0
"
서울 동작구 본동 417-1

",5.0
"
서울 동작구 서달로15길 12
(지번) 흑석동 106-32
",4.3
"
서울 동작구 장승배기로 57-1
(지번) 상도동 182-7
",0.0
"
서울 동작구 노량진로8길 28 1층
(지번) 노량진동 261-10
",3.9
"
서울 동작구 상도로 128 1층
(지번) 상도동 355-15
",4.9
"
서울 동작구 만양로14길 39 1층
(지번) 노량진동 127-9
",5.0
"
서울 동작구 상도로22길 18
(지번) 상도동 195-31
",5.0
"
서울 동작구 노량진로 132
(지번) 노량진동 62-11
",1.4
"
서울 동작구 등용로14길 68 1층
(지번) 노량진동 271-13
",3.9
"
서울 동작구 서달로15길 12
(지번) 흑석동 106-32
",4.7
"
서울 동작구 성대로31길 71
(지번) 상도동 197-10
",1.0
"
서울 동작구 양녕로26길 10
(지번) 상도동 210-1
",0.0
"
서울 동작구 만양로 84 삼익아파트상가 지하24호
(지번) 노량진동 330
",0.0
"
서울 동작구 노량진로18길 30
(지번) 본동 201-3
",0.0
"
서울 동작구 상도로15길 137
(지번) 상도동 363-205
",1.0
"
서울 동작구 본동 417-1

",5.0
"
서울 동작구 서달로15길 12
(지번) 흑석동 106-32
",4.3
"
서울 동작구 장승배기로 57-1
(지번) 상도동 182-7
",0.0
"
서울 동작구 노량진로8길 28 1층
(지번) 노량진동 261-10
",3.9
"
서울 동작구 상도로 128 1층
(지번) 상도동 355-15
",4.9
"
서울 동작구 만양로14길 39 1층
(지번) 노량진동 127-9
",5.0
"
서울 동작구 상도로22길 18
(지번) 상도동 195-31
",5.0
"
서울 동작구 노량진로 132
(지번) 노량진동 62-11
",1.4
"
서울 동작구 등용로14길 68 1층
(지번) 노량진동 271-13
",3.9
"
서울 동작구 서달로15길 12
(지번) 흑석동 106-32
",4.7
"
서울 동작구 성대로31길 71
(지번) 상도동 197-10
",1.0
"
서울 동작구 서달로14나길 3 1층
(지번) 흑석동 50-37
",4.5
"
서울 동작구 만양로 98
(지번) 노량진동 119-143
",3.0
"
서울 동작구 만양로 84
(지번) 노량진동 330
",0.0
"
서울 동작구 노들로 688
(지번) 노량진동 13-8
",0.0
"
서울 동작구 사당로 42
(지번) 상도동 508-4
",4.4
"
서울 동작구 성대로1길 6
(지번) 상도동 248-2
",2.5
"
서울 동작구 서달로14길 24
(지번) 흑석동 50-22
",4.7
"
서울 동작구 서달로12가길 15
(지번) 흑석동 95-27
",0.0
"
서울 동작구 서달로14길 22
(지번) 흑석동 50-23
",2.5
"
서울 동작구 만양로8길 60
(지번) 노량진동 123-14
",0.0
"
서울 동작구 상도로 77 1층
(지번) 대방동 335-15
",4.1
"
서울 동작구 장승배기로27길 18 1층
(지번) 노량진동 246-1
",2.6
"
서울 동작구 상도로67길 12-5 축복빌딩 지하1층
(지번) 상도동 120-15
",0.0
"
서울 동작구 서달로12길 13
(지번) 흑석동 97-6
",4.0
"
서울 동작구 흑석로 84
(지번) 흑석동 221
",0.0
"
서울 동작구 흑석로 120-1 1층
(지번) 흑석동 162-10
",3.6
"
서울 동작구 노량진로 140 1층 114호
(지번) 노량진동 57-1
",4.8
"
서울 동작구 노량진로16길 22 1층
(지번) 노량진동 92-2
",2.2
"
서울 동작구 장승배기로 164
(지번) 노량진동 50-2
",4.6
"
서울 동작구 서달로15길 17
(지번) 흑석동 101-4
",4.0
"
서울 동작구 상도로 140
(지번) 상도동 192-45
",0.0
"
서울 동작구 현충로 131 블루스톤 스포츠 1층
(지번) 흑석동 26-220
",2.8
"
서울 동작구 노량진로 223
(지번) 본동 360-9
",0.0
"
서울 동작구 상도로61길 43
(지번) 상도동 505
",0.0
"
서울 동작구 노량진로14길 39
(지번) 노량진동 84-52
",0.0
"
서울 동작구 상도로61길 8-2
(지번) 상도동 500
",0.0
"
서울 동작구 서달로14나길 5-1 1층
(지번) 흑석동 50-41
",2.5
"
서울 동작구 만양로16길 9
(지번) 노량진동 119-153
",0.0
"
서울 동작구 상도로 207 효성해링턴플레이스 212호
(지번) 상도동 536
",5.0
"
서울 동작구 상도로26길 4
(지번) 상도동 183-64
",4.0
"
서울 동작구 상도로 129 1층
(지번) 상도동 354-20
",5.0
"
서울 관악구 양녕로 117 2층
(지번) 봉천동 1718-1
",4.0
"
서울 동작구 노량진로16길 26
(지번) 노량진동 89-2
",2.6
"
서울 동작구 장승배기로 49
(지번) 상도동 184-26
",0.0
"
서울 동작구 장승배기로10길 21
(지번) 상도동 373-34
",0.0
"
서울 동작구 상도로 122
(지번) 상도동 355-8
",4.3
"
서울 동작구 서달로14가길 19
(지번) 흑석동 54-156
",4.3
"
서울 동작구 만양로14길 22
(지번) 노량진동 210
",0.0
"
서울 동작구 노량진로 226
(지번) 본동 402-1
",0.0
"
서울 동작구 흑석로 102 지하1층
(지번) 흑석동 224-1
",1.5
"
서울 동작구 상도로19길 7 1층
(지번) 상도동 356-141
",0.0
"
서울 동작구 상도로19길 1
(지번) 상도동 357-6
",0.0
"
서울 동작구 상도로 210
(지번) 상도동 26-36
",0.0
"
서울 동작구 상도로61길 34 2층
(지번) 상도동 504-6
",0.0
"
서울 동작구 만양로 84 지하 28호
(지번) 노량진동 330
",0.0
