title,location,estimation,viewCount,reviewCount
스시카나에,서울시 강남구 청담동 96-22 노노빌딩 2F,4.8,402012.0,110.0
미라이,서울시 강남구 신사동 557-25 끌레르빌 1F,4.8,524763.0,131.0
시라카와,서울시 강남구 신사동 664-24 1F,4.8,332121.0,75.0
세이류,서울시 송파구 신천동 11-4 B1 B35호,4.8,163681.0,36.0
이안정,서울시 마포구 상수동 315-3 2F 101호,4.8,13697.0,21.0
페리지,서울시 강남구 삼성동 114-40 1F,4.8,60339.0,41.0
"명랑회관
                                    (선릉점)",서울시 강남구 대치동 895-1,4.8,62264.0,58.0
야키토리나루토,서울시 마포구 서교동 403-23,4.8,78498.0,39.0
회현식당,서울시 중구 남창동 205-72,4.8,158036.0,51.0
오제제,서울시 중구 태평로1가 84 B3,4.8,86360.0,73.0
치즈플로,서울시 용산구 한남동 744-2,4.8,122157.0,56.0
상진식감,서울시 강남구 신사동 518-15 B1,4.8,37324.0,46.0
크리스피포크타운,서울 용산구 이태원동 455-33 1F,4.8,39833.0,49.0
멘타카무쇼,서울시 마포구 상수동 316-3,4.8,51203.0,35.0
BAR CHAM,서울시 종로구 통인동 135-5,4.8,113132.0,41.0
"우육면관
                                    (광화문점)",서울시 종로구 청진동 39,4.8,49029.0,47.0
"모던샤브하우스
                                    (광화문D타워점)",서울시 종로구 청진동 246 D타워 리플레이스 광화문 5F,4.8,76867.0,35.0
마리오네,서울시 성동구 성수동2가 269-107 1F,4.8,39628.0,23.0
도이칠란드 박,서울시 성북구 정릉동 372-37 1F,4.8,32995.0,31.0
알라프리마,서울시 강남구 논현동 42-6 1F,4.7,260153.0,88.0
카와카츠,서울시 마포구 서교동 465-1 1F 102호,4.7,218790.0,193.0
마루심,서울시 서초구 반포동 54-10 청구빌딩 1F,4.7,530255.0,223.0
만가타,서울시 종로구 소격동 88-17,4.7,194937.0,55.0
"패티앤베지스
                                    (신사)",서울시 강남구 신사동 525-2 1F,4.7,62721.0,90.0
양인환대극진,서울시 용산구 한강로2가 143-1 1F 104호,4.7,35353.0,18.0
서울케밥,서울시 용산구 한강로2가 15-14 선인상가 1F 11호,4.7,120854.0,110.0
"카와카츠
                                    (합정점)",서울시 마포구 서교동 395-154 1F,4.7,70878.0,83.0
"엘리스리틀이태리
                                    (공덕점)",서울시 마포구 공덕동 476 201동 1F,4.7,110365.0,55.0
호반,서울시 종로구 낙원동 85-7,4.7,269163.0,81.0
"패스트리부티크
                                    (서울신라호텔)",서울시 중구 장충동2가 202 서울신라호텔 1F,4.7,246815.0,108.0
삐아프,서울시 강남구 신사동 525-9 1F,4.7,172619.0,86.0
까폼,서울시 강남구 신사동 655-15 B1,4.7,94427.0,70.0
조이스팔라펠,서울시 용산구 용산동2가 20 보다서울 1F,4.7,31288.0,28.0
스시렌,서울시 강남구 청담동 20-3 2F,4.7,20610.0,17.0
소점,서울시 마포구 연남동 487-278,4.7,136479.0,72.0
미오도쿄다이닝,서울시 성동구 성수동2가 314-13 현대테라스타워 117호,4.7,119437.0,61.0
우주옥,서울시 마포구 연남동 224-6 B02호,4.7,65386.0,43.0
메종조,서울시 서초구 서초동 1476-10 공아트빌딩 1F,4.7,81627.0,30.0
파델라,서울시 마포구 연남동 567-34 1F,4.7,174231.0,67.0
디핀옥수,서울시 성동구 옥수동 244-10 B1,4.7,48814.0,33.0
맛짱조개,서울시 강남구 논현동 114-14,4.7,136672.0,66.0
"카카오봄
                                    (용산점)",서울시 용산구 한강로1가 216-3,4.7,42003.0,43.0
오코노미야키식당하나,서울시 광진구 화양동 31-4,4.7,197369.0,79.0
돌마리유황오리,서울시 송파구 석촌동 252-4,4.7,29476.0,30.0
사브서울,서울시 강남구 신사동 580-5 B1,4.7,26882.0,24.0
밀곳간,서울시 성북구 성북동 63-1,4.7,21367.0,31.0
빈호,서울시 강남구 논현동 108 논현웰스톤 162호,4.7,6844.0,8.0
조앤도슨,서울시 마포구 연남동 254-8 B1,4.7,26307.0,39.0
로랑,서울시 마포구 상암동 15-17 1F,4.7,29497.0,13.0
작은피자집,서울시 동작구 사당동 1029-37 1F,4.7,179141.0,67.0
데시데,서울시 종로구 사간동 41 1F,4.7,3116.0,16.0
화양연가,서울시 용산구 남영동 89-5,4.7,112651.0,45.0
무겐스위치,서울시 마포구 연남동 390-51,4.7,24792.0,27.0
세스타,서울시 용산구 한남동 68-4 1F,4.7,34008.0,13.0
고미태,서울시 마포구 합정동 427-18 1F,4.7,15681.0,28.0
판코네,서울시 용산구 한강로2가 80-2 풍양빌딩 1F,4.7,7250.0,16.0
지우관,서울시 성동구 성수동2가 328-13,4.7,54552.0,25.0
"부촌육회
                                    (별관)",서울시 종로구 종로4가 176-1 1F,4.7,22449.0,37.0
멜드 바이 기치조지,서울시 마포구 합정동 369-15 2F,4.7,21702.0,20.0
메노,서울시 서대문구 연희동 76-19,4.7,23579.0,18.0
한상더테이블,서울시 강남구 청담동 21-7 3F,4.7,7825.0,8.0
야키토리혼바,서울시 용산구 동자동 2-5 3-4F,4.7,2951.0,6.0
BISTROT de YOUNTVILLE,서울시 강남구 청담동 83-6 이안빌딩 1F,4.6,393989.0,157.0
진미평양냉면,서울시 강남구 논현동 115-10,4.6,241797.0,334.0
팔레드 신,서울시 중구 회현동1가 210 레스케이프호텔 6F,4.6,311129.0,107.0
스시코우지,서울시 강남구 논현동 92 SB타워 어넥스B동 3F,4.6,318747.0,97.0
쥬에,서울시 용산구 한남동 3-1,4.6,402394.0,85.0
서관면옥,서울시 서초구 서초동 1675-5,4.6,149349.0,182.0
"스시소라
                                    (광화문점)",서울시 종로구 종로1가 24 르메이에르종로타운 B동 B116 B-1호,4.6,298802.0,75.0
타쿠미곤,서울시 서초구 반포동 107-45 한국회관 2F,4.6,259389.0,62.0
오스테리아 오르조,서울시 용산구 한남동 31-13 2F,4.6,336533.0,189.0
가담,서울시 강남구 신사동 608-8 옥산빌딩,4.6,313879.0,152.0
와라야키 쿠이신보,서울시 강남구 신사동 539 대화빌딩,4.6,462845.0,133.0
껠끄쇼즈,서울시 강남구 대치동 1023-19,4.6,181498.0,149.0
가디록,서울시 강남구 신사동 650-5 2F,4.6,162572.0,69.0
"농민백암왕순대
                                    (강남역점)",서울시 강남구 역삼동 830-9,4.6,542159.0,278.0
팔마,서울시 종로구 필운동 170 1F,4.6,113414.0,47.0
쿠이신보,서울시 마포구 합정동 413-16 2F,4.6,357066.0,129.0
유즈라멘,서울시 중구 만리동1가 53-8,4.6,190688.0,170.0
페어링룸,서울시 강남구 청담동 117-12 1F,4.6,84898.0,97.0
오제제,서울시 용산구 동자동 43-22 1F,4.6,160742.0,108.0
"롸카두들내쉬빌핫치킨
                                    (압구정점)",서울시 강남구 신사동 646-8 1F,4.6,124762.0,115.0
따빠디또 디저트 따빠스바,서울시 관악구 봉천동 1668-21 상가 104호,4.6,92722.0,51.0
부촌육회,서울시 종로구 종로4가 165-11,4.6,298052.0,197.0
카츠바이콘반,서울시 강남구 신사동 647-22,4.6,87747.0,125.0
"차만다
                                    (잠실점)",서울시 송파구 송파동 57-9  반도빌딩 1F,4.6,288012.0,111.0
카레,서울시 성북구 성북동 161-6,4.6,95371.0,96.0
윤밀원,경기도 성남시 분당구 정자동 46-5,4.6,149010.0,96.0
야스노야지로,서울시 용산구 원효로1가 57-9 1F,4.6,203303.0,72.0
리틀빅토리,서울시 마포구 연남동 381-6,4.6,185240.0,133.0
바위파스타바,서울시 용산구 한남동 683-130 B2,4.6,309361.0,56.0
포카치아델라스트라다,서울시 용산구 한강로2가 105-3,4.6,59890.0,69.0
라바즈,서울시 마포구 망원동 379-32 2F,4.6,39207.0,57.0
슬로우치즈,서울시 강남구 청담동 11-1 101호,4.6,162540.0,75.0
Sogak,서울시 강남구 신사동 507-7 1F,4.6,36018.0,51.0
"폴앤폴리나
                                    (광화문점)",서울시 종로구 내수동 74 1F,4.6,382239.0,163.0
꿉당,서울시 서초구 잠원동 12-21 1F,4.6,112858.0,67.0
물랑,서울시 종로구 창성동 87-1 1F,4.6,85646.0,32.0
일리조,서울시 강남구 신사동 643-1 1F,4.6,79653.0,59.0
"우육면관
                                    (청계천점)",서울시 종로구 관철동 11-11,4.6,137179.0,113.0
"매덕스피자
                                    (신사점)",서울시 강남구 신사동 541-11 1F,4.6,111419.0,83.0
프롤라,서울시 성동구 성수동2가 272-35 1F,4.6,40720.0,53.0
야망,서울시 마포구 동교동 204-55,4.6,14121.0,39.0
홋카이도부타동스미레,서울시 서대문구 창천동 5-32,4.6,174148.0,133.0
원디그리노스,서울시 강남구 논현동 116,4.6,21257.0,38.0
쿠나,서울시 성동구 성수동2가 302-8 105호,4.6,198456.0,63.0
담택,서울시 마포구 서교동 381-22 1F,4.6,80863.0,91.0
"오향가
                                    (가락본점)",서울시 송파구 가락동 73-2,4.6,205287.0,121.0
양인환대 정인,서울시 용산구 한강로2가 143-1 2F 104호,4.6,24776.0,11.0
인딕 슬로우,서울시 강남구 신사동 525-4 1F,4.6,167115.0,80.0
미우,서울시 강남구 압구정동 415 미성아파트 B1,4.6,20823.0,16.0
쉐시몽,서울시 마포구 서교동 478-3 동궁빌딩 1F,4.6,149417.0,44.0
시미베,서울시 중구 신당동 247-14 2F,4.6,40095.0,28.0
제스트,서울시 강남구 청담동 88-1 하늘빌딩 1F,4.6,16019.0,28.0
"해목
                                    (논현점)",서울시 강남구 논현동 95-21,4.6,35024.0,38.0
피에트라,서울시 마포구 연남동 375-116 1F,4.6,9543.0,38.0
익스퀴진,서울시 강남구 청담동 63-11 라파빌딩,4.6,61211.0,25.0
할매국밥,부산시 동구 범일동 28-5,4.6,210760.0,99.0
북천,서울시 용산구 한강로3가 65-195,4.6,201801.0,129.0
돈까스전원,서울시 성동구 도선동 201-3,4.6,79602.0,47.0
키겐,서울시 강남구 논현동 93-15 B1,4.6,55054.0,17.0
"바이러닉에스프레소바
                                    (여의도점)",서울시 영등포구 여의도동 17 1F,4.6,35181.0,38.0
내추럴하이,서울시 용산구 이태원동 717 1F,4.6,54035.0,34.0
은하루,서울시 마포구 합정동 391-19,4.6,10398.0,23.0
파이리퍼블릭,서울시 마포구 동교동 147-48 B1,4.6,108588.0,50.0
우오보파스타바,서울시 성동구 성수동2가 299-59 1F,4.6,51289.0,28.0
해방촌 노아,서울시 용산구 용산동2가 1-524,4.6,70367.0,55.0
꾸잉,서울시 용산구 이태원동 123-33 1F,4.6,103196.0,81.0
프롬하노이,서울시 마포구 망원동 57-187 1F,4.6,114558.0,76.0
시칠리,서울시 용산구 한남동 739-20,4.6,43942.0,17.0
센트그릴 BBQ,서울시 서대문구 연희동 188-87 B1,4.6,52582.0,45.0
엘픽,서울시 강남구 청담동 11-12 에스앤에스빌딩 1F,4.6,18446.0,14.0
호시쿠,서울시 강남구 청담동 19-2 1F,4.6,15571.0,18.0
양인환대,서울시 강남구 도곡동 954-16,4.6,60756.0,36.0
"신비갈비살
                                    (본점)",서울시 강남구 신사동 508-9 1F,4.6,94890.0,32.0
레브어,서울시 송파구 송파동 49-5 1F,4.6,59877.0,16.0
수도원,서울시 종로구 동숭동 50-11 B1,4.6,111632.0,62.0
더티스낵,서울시 용산구 이태원동 119-13,4.6,15117.0,33.0
갈로팡,서울시 종로구 계동 99-12 2F,4.6,45665.0,11.0
베이컨시,서울시 관악구 봉천동 1627-10 옥산빌딩 B1,4.6,93476.0,44.0
시키카츠,서울시 중구 신당동 122-9 1F,4.6,56923.0,42.0
연희미식,서울시 서대문구 연희동 188-69 삼원빌딩,4.6,89571.0,50.0
스몰톡,서울시 영등포구 당산동4가 73-9 1F,4.6,15460.0,17.0
알레즈,서울시 용산구 한남동 32-17,4.6,20363.0,15.0
아루히 니와,서울시 영등포구 여의도동 35-5 2F 229-230호,4.6,44282.0,10.0
스시다정,서울시 영등포구 여의도동 43 B1 19호,4.6,12459.0,12.0
밀각,서울시 송파구 가락동 80 성원쌍떼빌101동 116호,4.6,21147.0,28.0
빠사삭튀김포차,서울시 관악구 신림동 1537-13,4.6,141758.0,57.0
무아,서울시 강남구 신사동 561-21 2F,4.6,19928.0,12.0
좋은소식,경기도 수원시 영통구 영통동 48 3F 302호,4.6,121914.0,36.0
광장시장 찹쌀꽈배기,서울시 종로구 종로4가 188 105호,4.6,22243.0,44.0
서평면옥,서울시 동작구 신대방동 395-70 전문건설회관 B1,4.6,28455.0,31.0
일월카츠,서울시 종로구 계동 144-1 1F,4.6,28386.0,27.0
높은산,서울시 성동구 성수동2가 535-2,4.6,25942.0,27.0
콘디토리오븐,서울시 용산구 한남동 64-1 1F 102호,4.6,14549.0,24.0
"쿳사
                                    (연희점)",서울시 서대문구 연희동 100-2 상가 1F 103호,4.6,20579.0,26.0
유가,서울시 중구 회현동1가 117-5,4.6,36675.0,29.0
혜화도담,서울시 종로구 명륜4가 48-2,4.6,136456.0,37.0
풍년 닭도리탕,서울시 중구 북창동 18-7,4.6,58892.0,45.0
칸다소바,서울시 송파구 신천동 29 롯데월드몰 캐주얼동 6F,4.6,29790.0,26.0
"반티엔야오카오위
                                    (강남점)",서울시 서초구 서초동 1317-31 세계빌딩 1F,4.6,65347.0,36.0
이치고,서울시 송파구 잠실동 223-18 1F,4.6,60785.0,15.0
라따뚜이인서울,서울시 용산구 청파동3가 12-2 1F,4.6,15257.0,10.0
밀림,서울시 종로구 창신동 23-663,4.6,15471.0,10.0
볼레티,서울시 서초구 방배동 938-23,4.6,893.0,6.0
시옹마오,서울시 성동구 성수동2가 316-1 3F,4.6,17516.0,18.0
바코,서울시 강서구 마곡동 776-2 제107-2호,4.6,7307.0,12.0
키마라야,서울시 서초구 방배동 755-14 108호,4.6,5852.0,11.0
레우레우,서울시 강남구 신사동 660-17 A동 101호,4.6,4003.0,9.0
고량주관,서울시 종로구 관철동 11-11,4.6,2000.0,7.0
"바우카페
                                    (삼각지점)",서울시 용산구 한강로1가 214 1F,4.6,21939.0,27.0
루비정,서울시 관악구 신림동 10-622 성우아파트상가 1F,4.6,48332.0,28.0
미타스,서울시 용산구 이촌동 301-154,4.6,19044.0,11.0
스시하쿠초,서울시 강남구 역삼동 679 GS강남타워 B1,4.6,4711.0,6.0
쿠시모토,서울시 마포구 연남동 260-26 1F,4.6,12377.0,4.0
칫쵸,서울시 서초구 방배동 797-8 테라스빌딩 2F,4.6,5532.0,4.0
넘버원양꼬치훠궈,서울시 용산구 한남동 79-3 2F,4.6,6658.0,8.0
안테이쿠,서울시 서대문구 창천동 52-156 B1,4.6,17507.0,12.0
쿠시파파,서울시 마포구 연남동 228-39 B1,4.6,10722.0,9.0
고든램지 스트리트버거,서울시 강남구 삼성동 159-7 B1,4.6,652.0,5.0
용산양다리,서울시 용산구 원효로3가 37-2 1F,4.6,4071.0,9.0
바이두부,서울시 용산구 용산동2가 1-467,4.6,16948.0,8.0
효제루,서울시 종로구 효제동 301-2 1F,4.6,707.0,7.0
카츠8,서울시 강남구 삼성동 159-8 파르나스몰 B1,4.6,13290.0,8.0
요이동,서울시 마포구 상수동 88-17,4.6,1810.0,6.0
"오레노라멘
                                    (본점)",서울시 마포구 합정동 361-1,4.5,430315.0,530.0
톡톡,서울시 강남구 청담동 69-5 리유빌딩 3F,4.5,358335.0,172.0
우래옥,서울시 중구 주교동 118-1,4.5,334356.0,478.0
진만두,서울시 마포구 서교동 327-22,4.5,547576.0,273.0
"브라이리퍼블릭
                                    (이태원점)",서울시 용산구 이태원동 63-4,4.5,480412.0,387.0
스와니예,서울시 강남구 신사동 504-11 스튜디오소,4.5,143434.0,91.0
"다로베
                                    (서울숲점)",서울시 성동구 성수동1가 685-208 1F,4.5,319832.0,261.0
산울림1992,서울시 마포구 창전동 5-138,4.5,420436.0,196.0
소금집델리 망원,서울시 마포구 망원동 57-38 2F,4.5,213474.0,239.0
길목,서울시 강남구 삼성동 58-6,4.5,243179.0,146.0
밴건디 스테이크 하우스,서울시 서초구 반포동 94-14,4.5,177475.0,146.0
이치에,서울시 강남구 신사동 656-7 2F,4.5,635766.0,175.0
콴안다오,서울시 강남구 신사동 516-2 1F,4.5,287858.0,227.0
로바타탄요,서울시 강남구 신사동 584-1 109호,4.5,240247.0,96.0
르페셰미뇽,서울시 용산구 이태원동 447-5 2F,4.5,123271.0,116.0
"더파크뷰
                                    (서울신라호텔)",서울시 중구 장충동2가 202 서울신라호텔 1F,4.5,278513.0,171.0
"송화산시도삭면
                                    (본점)",서울시 광진구 자양동 851-20,4.5,126883.0,157.0
젠제로,서울시 강남구 삼성동 10-18 예우빌딩,4.5,64770.0,218.0
디저티스트,서울시 송파구 송파동 33 호수임광아파트 상가동 2F,4.5,50223.0,105.0
야상해,서울시 용산구 이태원동 119-16,4.5,244065.0,161.0
"갓포아키
                                    (도산공원점)",서울시 강남구 신사동 651-5 쿠키빌딩,4.5,445593.0,139.0
당도,서울시 마포구 망원동 414-16,4.5,170829.0,259.0
설눈,서울시 서초구 서초동 1551-9 1F,4.5,72902.0,89.0
세스크멘슬,서울시 성동구 성수동2가 322-20 1F,4.5,133758.0,90.0
칙피스,서울시 강남구 신사동 540-18,4.5,159471.0,190.0
뚝방길 홍차가게,서울시 광진구 자양동 589-20,4.5,45806.0,73.0
토파,서울시 마포구 합정동 369-3 1F,4.5,179508.0,84.0
라구,서울시 용산구 용산동2가 45-4 1F,4.5,237281.0,132.0
"비엘티스테이크
                                    (JW메리어트 호텔 동대문)",서울시 종로구 종로6가 289-3 JW메리어트 호텔 동대문 스퀘어 서울 2F,4.5,253636.0,73.0
어머니대성집,서울시 동대문구 용두동 232-26,4.5,318622.0,158.0
레에스티우,서울시 용산구 한남동 644-19,4.5,32448.0,39.0
"허머스키친
                                    (파르나스몰)",서울시 강남구 삼성동 159-8 파르나스몰 B1 F-26호,4.5,215687.0,133.0
남영돈,서울시 용산구 남영동 52-2,4.5,115288.0,81.0
"서울수퍼
                                    (봉천지점)",서울시 관악구 봉천동 1527-1 2F,4.5,67333.0,93.0
"이치류
                                    (홍대본점)",서울시 마포구 서교동 395-124,4.5,470726.0,127.0
임프레션,서울시 강남구 신사동 649-7 5F,4.5,53234.0,32.0
올레무스,서울시 서대문구 연희동 220-40,4.5,74439.0,78.0
"아리아
                                    (서울 웨스틴조선호텔)",서울시 중구 소공동 87-1 서울 웨스틴조선호텔,4.5,145598.0,67.0
뉴욕택시디저트,서울시 관악구 봉천동 1664-16 1F,4.5,119831.0,112.0
허브족발,서울시 영등포구 당산동6가 302 2F,4.5,248951.0,172.0
"호가양꼬치
                                    (직영5호점)",서울시 종로구 수송동 71-1,4.5,215138.0,84.0
오죽이네,서울시 종로구 익선동 156,4.5,338414.0,153.0
코슌,서울시 강남구 신사동 626-71 2F,4.5,44200.0,24.0
소이연남마오,서울시 강남구 신사동 665-9 1-2F,4.5,199725.0,76.0
스탠바이키친,서울시 서대문구 대신동 91-15,4.5,147690.0,153.0
미성옥,서울시 중구 명동1가 54-6 1F,4.5,289408.0,132.0
키오스크,서울시 마포구 망원동 57-194 2F,4.5,128870.0,114.0
부빙,서울시 종로구 부암동 254-2,4.5,58259.0,95.0
우동가조쿠,서울시 성동구 행당동 32-22,4.5,136640.0,158.0
샐러드셀러,서울시 용산구 한남동 684-24,4.5,243544.0,121.0
원스타 올드패션드 햄버거,서울시 강남구 도곡동 424-11,4.5,65972.0,80.0
흐비지떼,서울시 강남구 삼성동 115-45 1F,4.5,22377.0,32.0
고갯마루집,서울시 강남구 역삼동 725-12,4.5,225299.0,140.0
"야키토리묵
                                    (신사점)",서울시 강남구 신사동 512-11 B1,4.5,25624.0,20.0
키세츠스시,서울시 서초구 방배동 451-2 1F,4.5,41676.0,18.0
르뱅룰즈,서울시 강남구 삼성동 8-2 브라운스톤레전드 105호,4.5,23047.0,42.0
영동장어,서울시 강남구 논현동 98-8 B1,4.5,51342.0,39.0
논데,서울시 종로구 관수동 98-1  하이뷰디아트 2F,4.5,29498.0,20.0
"찰스에이치
                                    (포시즌스호텔 서울)",서울시 종로구 당주동 30 포시즌스호텔 서울 B1,4.5,146766.0,66.0
발렁스,서울시 성동구 성수동2가 310-17,4.5,67157.0,63.0
멘야준,서울시 마포구 서교동 465-2,4.5,80124.0,99.0
스시 윤슬,서울시 서초구 서초동 1554-5 B101호,4.5,53560.0,18.0
러시아케익,서울시 중구 광희동1가 134,4.5,86747.0,85.0
"차만다
                                    (서울숲점)",서울시 성동구 성수동1가 685-480,4.5,97399.0,52.0
"오레노라멘
                                    (송파점)",서울시 송파구 송파동 42-6 1F,4.5,97695.0,116.0
시키카츠,서울시 동대문구 회기동 60-147 1F,4.5,122322.0,76.0
디템포레,서울시 용산구 한남동 199-1 1F,4.5,18563.0,20.0
오월의김밥,서울시 관악구 봉천동 1657-21 102호,4.5,123169.0,96.0
후니도니,서울시 종로구 종로1가 24 르메이에르종로타운 B1,4.5,156425.0,107.0
공푸,서울시 성북구 삼선동5가 299-10,4.5,111717.0,101.0
매튜,서울시 성동구 성수동2가 256-3 1F,4.5,12328.0,15.0
"백부장집닭한마리
                                    (본점)",서울시 종로구 공평동 129,4.5,173281.0,109.0
쿄라멘,서울시 마포구 연남동 385-4,4.5,44850.0,67.0
누메로뜨레쓰,서울시 성동구 성수동1가 656-1661 1F,4.5,59572.0,47.0
"오츠커피
                                    (마포점)",서울시 마포구 상수동 328-2,4.5,59000.0,55.0
